id,start,end,delta,status
72a32e3d-699e-4848-b4cf-868daa8654f1,2022-09-10T20:25:18.638808,2022-09-10T20:25:18.649451,10643,True
d9cdd8f4-3e10-481a-982a-b32d62eebc02,2022-09-10T20:25:18.950089,2022-09-10T20:25:18.956082,5993,True
438c6b41-e2aa-43e0-b721-f1457f35ef2b,2022-09-10T20:25:19.256651,2022-09-10T20:25:19.261265,4614,True
f03f842d-5b3a-4164-afc3-7340413019e8,2022-09-10T20:25:19.561882,2022-09-10T20:25:19.572513,10631,False
4cdeee0d-ae32-4d02-a032-d8f916459e23,2022-09-10T20:25:19.873173,2022-09-10T20:25:19.877724,4551,True
4fad62c6-82b1-4ca9-95c6-d4a9677c773b,2022-09-10T20:25:20.178371,2022-09-10T20:25:20.186446,8075,True
2d75632c-6ba1-43bd-9d38-3bace4c499a6,2022-09-10T20:25:20.487071,2022-09-10T20:25:20.497210,10139,True
d38327b7-12d2-4d84-b24a-db31e4203513,2022-09-10T20:25:20.797830,2022-09-10T20:25:20.803993,6163,True
20c281b1-a305-46c4-be65-cef44a5b5ba7,2022-09-10T20:25:21.104629,2022-09-10T20:25:21.110751,6122,True
c74272c3-05aa-40ef-a843-7bbcbd83230c,2022-09-10T20:25:21.411363,2022-09-10T20:25:21.415975,4612,True
c472fc61-480c-4e9e-8fab-e4dd73d76065,2022-09-10T20:25:21.716603,2022-09-10T20:25:21.722384,5781,True
205c54d4-2477-4199-9ea2-a0cc5dcaa014,2022-09-10T20:25:22.022992,2022-09-10T20:25:22.029003,6011,True
2afda99b-4470-4a4e-8fae-91c6fc07b98d,2022-09-10T20:25:22.329616,2022-09-10T20:25:22.334288,4672,True
e6d4e143-0acb-4534-8468-c979fc8af37f,2022-09-10T20:25:22.634909,2022-09-10T20:25:22.642820,7911,True
e88d28a5-3e6b-4220-ba94-13cc0bf5a65f,2022-09-10T20:25:22.943486,2022-09-10T20:25:22.950769,7283,True
f9c35697-b9dc-4647-b349-753295286169,2022-09-10T20:25:23.251383,2022-09-10T20:25:23.255674,4291,True
5c8dfd8f-73db-4f66-8c4c-80d788a48b2a,2022-09-10T20:25:23.556889,2022-09-10T20:25:23.561318,4429,True
ecd90706-9925-4922-983b-056bb15315a5,2022-09-10T20:25:23.861991,2022-09-10T20:25:23.867955,5964,False
